Date,Day,Venue,Time
6/4/2018,Monday,Work,3
6/5/2018,Tuesday,Work,2.75
6/6/2018,Wednesday,Work,0.5
6/7/2018,Thursday,Work,0.25
6/9/2018,Satruday,Home,4.5
6/10/2018,Sunday,Home,0.5
6/11/2018,Monday,Work,4.5
6/12/2018,Tuesday,Work,2
6/13/2018,Wednesday,Work,4.5
6/14/2018,Thursday,Work,3
6/19/2018,Tuesday,Work,5.5
6/20/2018,Wednesday,Work,4.5
6/21/2018,Thursday,Work,4
6/23/2018,Satruday,Home,6.25
6/25/2018,Monday,Work,4.5
6/26/2018,Tuesday,Work,3.5
6/27/2018,Wednesday,Work,4
6/28/2018,Thursday,Work,4
6/29/2018,Friday,Transit,1.75
6/30/2018,Saturday,Boston,0.5
7/1/2018,Sunday,Boston,2
7/2/2018,Monday,Boston,2.75
7/4/2018,Wednesday,Boston,1
7/5/2018,Thursday,Boston,0.75
7/6/2016,Friday,Boston,1
7/7/2018,Saturday,Transit,1
7/8/2018,Sunday,Home,3.5
7/9/2018,Monday,Work,3
7/10/2018,Tuesday,Work,3.75
7/11/2018,Wednesday,Work,1.75
7/12/2018,Thursday,Work,3.25
7/14/2018,Saturday,DU,0.5
7/16/2018,Monday,Work,6
7/17/2018,Tuesday,Work,3.75
7/18/2018,Wednesday,Work,5
7/19/2018,Thursday,Work,1.5
7/20/2018,Friday,Work,1.5
7/21/2018,Saturday,DU,5.5
7/22/2018,Sunday,N/a,0
7/23/2018,Monday,Work,1.25
7/24/2018,Tuesday,Work,3
7/25/2018,Wednesday,Work,2
